,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,cost_type,SSE,LL,BIC
61,262,8028,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,5.412999999999999,5.412999999999999,0.193,0.0,10.700999999999999,4.388999999999999,4.388,0.257,3.208,-4.388999999999999,4.084,-0.26,0.259,-3.4939999999999998,-2.924,5.024,4.391,4.085,0.261,-3.7880000000000003,SSE,6.852,-19.316,113.493
62,263,8029,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,7.22,7.22,1.518,0.0,12.032,9.549,0.0,-0.7240000000000001,9.264,6.4270000000000005,0.0,0.0,9.439,5.766,-0.0,-0.7240000000000001,9.443999999999999,9.105,-0.7240000000000001,-6.699,SSE,6.25,-16.374000000000002,107.609
63,264,8030,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.148,4.148,0.946,0.0,-1.2329999999999999,-0.374,-0.8959999999999999,-0.655,0.8340000000000001,-0.8959999999999999,-0.655,-1.834,0.8340000000000001,2.479,0.374,-0.266,2.0580000000000003,3.432,2.657,1.551,SSE,2.927,7.902,59.055
64,265,8031,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,8.424,8.424,0.27899999999999997,0.0,7.861000000000001,7.858,0.179,0.5379999999999999,4.96,3.696,3.469,-0.358,2.4130000000000003,7.869,-2.4130000000000003,-5.247000000000001,4.425,7.862,0.358,-2.215,SSE,5.236000000000001,-10.710999999999999,96.28200000000001
65,266,8032,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,5.617000000000001,5.617000000000001,0.136,0.0,13.548,1.4809999999999999,-4.976,0.369,12.798,6.251,4.567,-2.609,4.976,9.125,-4.165,-5.817,6.251,17.298,-4.567,-5.393,SSE,6.165,-15.936,106.73200000000001
66,267,8035,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,3.236,3.236,0.556,0.0,0.823,0.823,0.09,-1.015,0.823,0.823,0.09,-1.113,0.9179999999999999,-0.09,-0.09,-0.823,1.112,-1.015,-2.2230000000000003,-1.015,SSE,3.253,4.527,65.807
67,268,8036,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.531000000000001,4.531000000000001,0.846,0.0,-1.073,0.059000000000000004,-0.059000000000000004,-1.298,1.379,-1.146,-1.146,-1.298,10.755,1.2209999999999999,-3.48,-1.379,4.33,4.33,-3.835,-3.201,SSE,7.17,-20.769000000000002,116.397
68,269,8037,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,7.605,7.605,0.386,0.0,-0.26,0.652,-1.464,-1.895,4.498,1.895,-2.045,-1.749,4.498,2.5140000000000002,-2.197,0.13,4.021,0.13,0.52,-1.749,SSE,5.716,-13.514000000000001,101.88799999999999
69,270,8038,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.824,4.824,0.235,0.0,8.789,1.725,-7.382000000000001,-7.382000000000001,2.174,5.899,-2.4019999999999997,-2.174,1.9480000000000002,6.978,-8.789,-3.6060000000000003,6.978,2.174,-7.382000000000001,-8.281,SSE,3.4760000000000004,2.398,70.064
70,271,8039,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.854,4.854,0.171,0.0,2.371,-0.585,-0.585,-3.62,15.835,2.677,-3.62,-3.301,9.588,2.068,2.371,-5.307,11.378,8.574,1.173,-1.173,SSE,4.956,-8.948,92.757
71,272,8040,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,3.708,3.708,0.688,0.0,-0.073,0.82,-0.366,0.981,0.365,1.5019999999999998,0.6659999999999999,-0.742,1.062,-1.063,0.292,2.254,0.218,0.365,-0.146,0.073,SSE,5.251,-10.802999999999999,96.465
