,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,cost_type,SSE,LL,BIC
67,205,6005,joint,8,1000,Coop,0,0,0,1.5430000000000001,1.5430000000000001,0.27,0.0,-0.441,,,,SSE,8.205,-25.083000000000002,62.643
68,205,6005,joint,9,1001,Coop_Nash,0,0,0,3.6489999999999996,3.6489999999999996,0.205,0.0,-1.45,6.507000000000001,,,SSE,4.953,-8.929,34.494
69,205,6005,joint,10,1010,Coop_Risk,0,0,0,1.214,1.214,0.376,0.0,-0.541,2.1790000000000003,,,SSE,6.483,-17.548,51.731
70,205,6005,joint,11,1011,Coop_Risk_Nash,0,0,0,0.9540000000000001,0.9540000000000001,0.9209999999999999,0.0,-0.625,0.581,1.7,,SSE,3.957,-1.745,24.285
71,205,6005,joint,12,1100,Coop_Greed,0,0,0,1.494,1.494,0.349,0.0,-0.434,1.499,,,SSE,5.415,-11.783,40.202
72,205,6005,joint,13,1101,Coop_Greed_Nash,0,0,0,2.253,2.253,0.44,0.0,-0.602,0.509,3.425,,SSE,3.2710000000000004,4.3469999999999995,12.100999999999999
73,205,6005,joint,14,1110,Coop_Greed_Risk,0,0,0,1.598,1.598,0.636,0.0,-0.425,0.971,1.864,,SSE,2.204,16.985,-13.175999999999998
74,205,6005,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,4.341,4.341,0.29100000000000004,0.0,-2.023,1.1159999999999999,3.8960000000000004,4.073,SSE,1.864,22.338,-19.723
75,206,6006,joint,1,1,Nash,0,0,0,0.37799999999999995,0.37799999999999995,0.221,0.0,2.225,,,,SSE,4.319,-4.711,21.899
76,206,6006,joint,2,10,Risk,0,0,0,0.42200000000000004,0.42200000000000004,0.245,0.0,1.839,,,,SSE,4.14,-3.363,19.203
77,206,6006,joint,3,11,Risk_Nash,0,0,0,0.607,0.607,0.193,0.0,1.4269999999999998,1.5430000000000001,,,SSE,3.908,-1.5659999999999998,19.767
78,206,6006,joint,4,100,Greed,0,0,0,0.01,0.01,0.01,0.0,7.796,,,,SSE,5.122999999999999,-10.112,32.701
79,206,6006,joint,5,101,Greed_Nash,0,0,0,0.01,0.01,0.038,0.0,-8.214,19.984,,,SSE,4.126,-3.26,23.155
80,206,6006,joint,6,110,Greed_Risk,0,0,0,0.37200000000000005,0.37200000000000005,0.047,0.0,1.38,10.171,,,SSE,4.224,-4.002,24.64
81,206,6006,joint,7,111,Greed_Risk_Nash,0,0,0,0.17600000000000002,0.17600000000000002,0.187,0.0,-1.101,1.199,2.6319999999999997,,SSE,3.989,-2.198,25.191
82,206,6006,joint,8,1000,Coop,0,0,0,0.8959999999999999,0.8959999999999999,0.262,0.0,1.732,,,,SSE,3.8760000000000003,-1.083,14.642999999999999
83,206,6006,joint,9,1001,Coop_Nash,0,0,0,1.945,1.945,0.13,0.0,3.73,3.912,,,SSE,2.898,8.216000000000001,0.204
84,206,6006,joint,10,1010,Coop_Risk,0,0,0,0.72,0.72,0.311,0.0,1.5290000000000001,1.505,,,SSE,2.7319999999999998,10.113,-3.59
85,206,6006,joint,11,1011,Coop_Risk_Nash,0,0,0,2.591,2.591,0.107,0.0,4.494,2.4859999999999998,3.44,,SSE,2.329,15.212,-9.629
86,206,6006,joint,12,1100,Coop_Greed,0,0,0,2.8739999999999997,2.8739999999999997,0.035,0.0,10.671,-0.462,,,SSE,4.321000000000001,-4.567,25.769000000000002
87,206,6006,joint,13,1101,Coop_Greed_Nash,0,0,0,0.591,0.591,0.249,0.0,1.689,-1.8130000000000002,3.1210000000000004,,SSE,3.1430000000000002,5.619,9.557
88,206,6006,joint,14,1110,Coop_Greed_Risk,0,0,0,0.588,0.588,0.239,0.0,1.722,-0.091,1.986,,SSE,3.127,5.7860000000000005,9.222000000000001
89,206,6006,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,1.087,1.087,0.153,0.0,2.7119999999999997,-2.2640000000000002,1.271,3.685,SSE,2.78,9.552999999999999,5.847
90,207,7001,joint,1,1,Nash,0,0,0,0.183,0.183,0.24600000000000002,0.0,3.622,,,,SSE,10.335,-32.468,77.414
91,207,7001,joint,2,10,Risk,0,0,0,0.01,0.01,0.01,0.0,19.72,,,,SSE,12.328,-38.111,88.698
92,207,7001,joint,3,11,Risk_Nash,0,0,0,0.01,0.01,0.096,0.0,-10.502,19.998,,,SSE,9.657,-30.296999999999997,77.229
93,207,7001,joint,4,100,Greed,0,0,0,0.588,0.588,0.446,0.0,3.2089999999999996,,,,SSE,7.309,-21.381999999999998,55.24100000000001
94,207,7001,joint,5,101,Greed_Nash,0,0,0,0.604,0.604,0.397,0.0,3.2760000000000002,0.557,,,SSE,7.2170000000000005,-20.978,58.592
95,207,7001,joint,6,110,Greed_Risk,0,0,0,0.3,0.3,0.33,0.0,4.092,0.669,,,SSE,7.405,-21.8,60.236000000000004
96,207,7001,joint,7,111,Greed_Risk_Nash,0,0,0,0.322,0.322,0.322,0.0,4.444,0.899,-0.486,,SSE,7.37,-21.649,64.092
97,207,7001,joint,8,1000,Coop,0,0,0,0.89,0.89,0.298,0.0,0.23199999999999998,,,,SSE,11.562000000000001,-36.056999999999995,84.59100000000001
98,207,7001,joint,9,1001,Coop_Nash,0,0,0,0.888,0.888,0.341,0.0,-0.039,2.627,,,SSE,9.152999999999999,-28.583000000000002,73.803
99,207,7001,joint,10,1010,Coop_Risk,0,0,0,0.494,0.494,0.198,0.0,0.11199999999999999,0.466,,,SSE,12.003,-37.256,91.147
100,207,7001,joint,11,1011,Coop_Risk_Nash,0,0,0,1.318,1.318,0.109,0.0,-0.569,-7.19,14.067,,SSE,9.344,-29.244,79.282
101,207,7001,joint,12,1100,Coop_Greed,0,0,0,0.7090000000000001,0.7090000000000001,0.441,0.0,-0.205,3.3139999999999996,,,SSE,6.242000000000001,-16.332,49.299
102,207,7001,joint,13,1101,Coop_Greed_Nash,0,0,0,3.227,3.227,0.099,0.0,-0.905,13.109000000000002,4.053999999999999,,SSE,6.006,-15.097999999999999,50.99
103,207,7001,joint,14,1110,Coop_Greed_Risk,0,0,0,1.054,1.054,0.7120000000000001,0.0,-2.193,9.318,3.0039999999999996,,SSE,6.257000000000001,-16.406,53.607
104,207,7001,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.456,0.456,1.868,0.0,-1.084,4.045,1.4280000000000002,0.5579999999999999,SSE,6.167999999999999,-15.947000000000001,56.848
105,208,7002,joint,1,1,Nash,0,0,0,1.341,1.341,0.23800000000000002,0.0,2.1109999999999998,,,,SSE,11.592,-36.519,85.514
106,208,7002,joint,2,10,Risk,0,0,0,0.01,0.01,0.01,0.0,-16.6,,,,SSE,13.008,-40.099000000000004,92.67399999999999
107,208,7002,joint,3,11,Risk_Nash,0,0,0,0.01,0.01,0.11,0.0,-14.892000000000001,19.996,,,SSE,9.731,-31.096,78.828
108,208,7002,joint,4,100,Greed,0,0,0,1.919,1.919,0.23800000000000002,0.0,6.59,,,,SSE,7.247999999999999,-22.462,57.401
109,208,7002,joint,5,101,Greed_Nash,0,0,0,0.9159999999999999,0.9159999999999999,0.375,0.0,4.291,-1.213,,,SSE,7.25,-22.593000000000004,61.821000000000005
110,208,7002,joint,6,110,Greed_Risk,0,0,0,0.349,0.349,0.37799999999999995,0.0,3.7089999999999996,-1.42,,,SSE,7.776,-24.475,65.586
111,208,7002,joint,7,111,Greed_Risk_Nash,0,0,0,0.332,0.332,0.35200000000000004,0.0,3.76,-1.6580000000000001,0.245,,SSE,7.712999999999999,-24.244,69.283
112,208,7002,joint,8,1000,Coop,0,0,0,5.335,5.335,0.08900000000000001,0.0,12.975,,,,SSE,9.609,-30.138,72.753
113,208,7002,joint,9,1001,Coop_Nash,0,0,0,0.654,0.654,0.902,0.0,1.4169999999999998,0.6459999999999999,,,SSE,7.294,-21.316,59.266999999999996
114,208,7002,joint,10,1010,Coop_Risk,0,0,0,0.503,0.503,0.33,0.0,2.6189999999999998,-1.479,,,SSE,10.583,-33.226,83.089
115,208,7002,joint,11,1011,Coop_Risk_Nash,0,0,0,0.522,0.522,0.721,0.0,1.758,-3.6519999999999997,3.6719999999999997,,SSE,6.455,-17.407,55.608999999999995
116,208,7002,joint,12,1100,Coop_Greed,0,0,0,1.422,1.422,1.331,0.0,6.005,5.968,,,SSE,1.3019999999999998,33.783,-50.93
117,208,7002,joint,13,1101,Coop_Greed_Nash,0,0,0,3.513,3.513,0.337,0.0,13.454,14.311,-1.028,,SSE,1.5090000000000001,29.105999999999998,-37.417
118,208,7002,joint,14,1110,Coop_Greed_Risk,0,0,0,0.635,0.635,0.68,0.0,2.82,3.341,-1.587,,SSE,3.408,3.035,14.724
