,choice,cost,player_type,score,trial,work_confidence,block,pay_inspect,batch,subID,mode,psiturk_status,data_status,bonus,choice_num
10,not inspect,10,pess,40,10,,0,12,batch1,2011,live,4,complete,0.54,0
11,inspect,9,pess,31,11,,0,12,batch1,2011,live,4,complete,0.54,1
12,inspect,10,pess,30,12,,0,12,batch1,2011,live,4,complete,0.54,1
13,inspect,11,pess,29,13,,0,12,batch1,2011,live,4,complete,0.54,1
14,inspect,12,pess,28,14,,0,12,batch1,2011,live,4,complete,0.54,1
15,inspect,15,opt,15,0,35.0,1,30,batch1,2011,live,4,complete,0.54,1
16,inspect,25,opt,5,1,35.0,1,30,batch1,2011,live,4,complete,0.54,1
17,inspect,30,opt,0,2,35.0,1,30,batch1,2011,live,4,complete,0.54,1
18,inspect,30,opt,0,3,35.0,1,30,batch1,2011,live,4,complete,0.54,1
19,inspect,30,opt,0,4,35.0,1,30,batch1,2011,live,4,complete,0.54,1
20,not inspect,30,opt,0,5,35.0,1,30,batch1,2011,live,4,complete,0.54,0
21,inspect,20,opt,10,6,35.0,1,30,batch1,2011,live,4,complete,0.54,1
22,not inspect,30,opt,0,7,35.0,1,30,batch1,2011,live,4,complete,0.54,0
23,not inspect,25,opt,0,8,35.0,1,30,batch1,2011,live,4,complete,0.54,0
24,not inspect,23,opt,0,9,35.0,1,30,batch1,2011,live,4,complete,0.54,0
25,not inspect,22,opt,0,10,,1,30,batch1,2011,live,4,complete,0.54,0
26,not inspect,21,opt,0,11,,1,30,batch1,2011,live,4,complete,0.54,0
27,inspect,20,opt,10,12,,1,30,batch1,2011,live,4,complete,0.54,1
28,inspect,21,opt,9,13,,1,30,batch1,2011,live,4,complete,0.54,1
29,inspect,22,opt,8,14,,1,30,batch1,2011,live,4,complete,0.54,1
0,not inspect,15,pess,40,0,50.0,0,12,batch2,3000,live,4,complete,0.59,0
1,inspect,5,pess,35,1,50.0,0,12,batch2,3000,live,4,complete,0.59,1
2,not inspect,15,pess,40,2,50.0,0,12,batch2,3000,live,4,complete,0.59,0
3,inspect,5,pess,35,3,50.0,0,12,batch2,3000,live,4,complete,0.59,1
4,inspect,10,pess,30,4,50.0,0,12,batch2,3000,live,4,complete,0.59,1
5,not inspect,13,pess,40,5,50.0,0,12,batch2,3000,live,4,complete,0.59,0
6,inspect,12,pess,28,6,50.0,0,12,batch2,3000,live,4,complete,0.59,1
7,not inspect,13,pess,40,7,50.0,0,12,batch2,3000,live,4,complete,0.59,0
8,inspect,12,pess,28,8,50.0,0,12,batch2,3000,live,4,complete,0.59,1
9,not inspect,13,pess,40,9,50.0,0,12,batch2,3000,live,4,complete,0.59,0
10,inspect,12,pess,28,10,,0,12,batch2,3000,live,4,complete,0.59,1
11,not inspect,13,pess,40,11,,0,12,batch2,3000,live,4,complete,0.59,0
12,inspect,12,pess,28,12,,0,12,batch2,3000,live,4,complete,0.59,1
13,not inspect,13,pess,40,13,,0,12,batch2,3000,live,4,complete,0.59,0
14,inspect,12,pess,28,14,,0,12,batch2,3000,live,4,complete,0.59,1
15,inspect,15,opt,15,0,33.0,1,17,batch2,3000,live,4,complete,0.59,1
16,not inspect,25,opt,0,1,33.0,1,17,batch2,3000,live,4,complete,0.59,0
17,inspect,15,opt,15,2,33.0,1,17,batch2,3000,live,4,complete,0.59,1
18,not inspect,25,opt,0,3,33.0,1,17,batch2,3000,live,4,complete,0.59,0
19,not inspect,20,opt,0,4,33.0,1,17,batch2,3000,live,4,complete,0.59,0
20,not inspect,18,opt,0,5,33.0,1,17,batch2,3000,live,4,complete,0.59,0
21,inspect,17,opt,13,6,33.0,1,17,batch2,3000,live,4,complete,0.59,1
22,not inspect,18,opt,0,7,33.0,1,17,batch2,3000,live,4,complete,0.59,0
23,inspect,17,opt,13,8,33.0,1,17,batch2,3000,live,4,complete,0.59,1
24,not inspect,18,opt,0,9,33.0,1,17,batch2,3000,live,4,complete,0.59,0
25,inspect,17,opt,13,10,,1,17,batch2,3000,live,4,complete,0.59,1
26,not inspect,18,opt,0,11,,1,17,batch2,3000,live,4,complete,0.59,0
27,inspect,17,opt,13,12,,1,17,batch2,3000,live,4,complete,0.59,1
28,not inspect,18,opt,0,13,,1,17,batch2,3000,live,4,complete,0.59,0
29,inspect,17,opt,13,14,,1,17,batch2,3000,live,4,complete,0.59,1
0,not inspect,15,opt,0,0,90.0,0,5,batch2,3002,live,4,complete,0.46,0
1,inspect,5,opt,25,1,90.0,0,5,batch2,3002,live,4,complete,0.46,1
2,not inspect,15,opt,0,2,90.0,0,5,batch2,3002,live,4,complete,0.46,0
3,inspect,5,opt,25,3,90.0,0,5,batch2,3002,live,4,complete,0.46,1
4,not inspect,10,opt,0,4,90.0,0,5,batch2,3002,live,4,complete,0.46,0
5,not inspect,8,opt,0,5,90.0,0,5,batch2,3002,live,4,complete,0.46,0
6,inspect,7,opt,23,6,90.0,0,5,batch2,3002,live,4,complete,0.46,1
7,inspect,8,opt,22,7,90.0,0,5,batch2,3002,live,4,complete,0.46,1
8,inspect,9,opt,21,8,90.0,0,5,batch2,3002,live,4,complete,0.46,1
9,not inspect,10,opt,0,9,90.0,0,5,batch2,3002,live,4,complete,0.46,0
10,inspect,9,opt,21,10,,0,5,batch2,3002,live,4,complete,0.46,1
11,not inspect,10,opt,0,11,,0,5,batch2,3002,live,4,complete,0.46,0
12,not inspect,9,opt,0,12,,0,5,batch2,3002,live,4,complete,0.46,0
13,inspect,8,opt,22,13,,0,5,batch2,3002,live,4,complete,0.46,1
14,inspect,9,opt,21,14,,0,5,batch2,3002,live,4,complete,0.46,1
15,not inspect,15,pess,40,0,90.0,1,5,batch2,3002,live,4,complete,0.46,0
16,inspect,5,pess,35,1,90.0,1,5,batch2,3002,live,4,complete,0.46,1
17,not inspect,15,pess,40,2,90.0,1,5,batch2,3002,live,4,complete,0.46,0
18,inspect,5,pess,35,3,90.0,1,5,batch2,3002,live,4,complete,0.46,1
19,not inspect,10,pess,40,4,90.0,1,5,batch2,3002,live,4,complete,0.46,0
20,not inspect,8,pess,40,5,90.0,1,5,batch2,3002,live,4,complete,0.46,0
21,not inspect,7,pess,40,6,90.0,1,5,batch2,3002,live,4,complete,0.46,0
22,not inspect,6,pess,40,7,90.0,1,5,batch2,3002,live,4,complete,0.46,0
23,inspect,5,pess,35,8,90.0,1,5,batch2,3002,live,4,complete,0.46,1
24,not inspect,6,pess,40,9,90.0,1,5,batch2,3002,live,4,complete,0.46,0
