,question,self,typical,game_type,selfType,typicalType,batch,subID,mode,psiturk_status,data_status,bonus
2,3,coop,coop,PD,trust,trust,batch5,6002,live,4,complete,0.22
3,4,coop,coop,SG,trust,trust,batch5,6002,live,4,complete,0.22
0,1,coop,coop,SH,trust,trust,batch5,6002,live,4,complete,0.22
1,2,coop,coop,HG,Nash,Nash,batch5,6003,live,4,complete,0.3
2,3,def,def,PD,Nash,Nash,batch5,6003,live,4,complete,0.3
3,4,def,def,SG,Nash,Nash,batch5,6003,live,4,complete,0.3
0,1,def,def,SH,Nash,Nash,batch5,6003,live,4,complete,0.3
1,2,coop,coop,HG,trust,trust,batch5,6004,live,4,complete,0.62
2,3,coop,coop,PD,trust,trust,batch5,6004,live,4,complete,0.62
3,4,coop,coop,SG,trust,trust,batch5,6004,live,4,complete,0.62
0,1,coop,coop,SH,trust,trust,batch5,6004,live,4,complete,0.62
1,2,coop,coop,HG,trust,trust,batch5,6005,live,4,complete,0.21
2,3,coop,coop,PD,trust,trust,batch5,6005,live,4,complete,0.21
3,4,coop,coop,SG,trust,trust,batch5,6005,live,4,complete,0.21
0,1,coop,coop,SH,trust,trust,batch5,6005,live,4,complete,0.21
1,2,coop,coop,HG,pess,Nash,batch5,6006,live,4,complete,0.62
2,3,def,def,PD,pess,Nash,batch5,6006,live,4,complete,0.62
3,4,coop,def,SG,pess,Nash,batch5,6006,live,4,complete,0.62
0,1,def,def,SH,pess,Nash,batch5,6006,live,4,complete,0.62
1,2,coop,coop,HG,none,none,batch5,6009,live,4,complete,0.47
2,3,coop,coop,PD,none,none,batch5,6009,live,4,complete,0.47
3,4,coop,def,SG,none,none,batch5,6009,live,4,complete,0.47
0,1,def,def,SH,none,none,batch5,6009,live,4,complete,0.47
1,2,coop,def,HG,none,none,batch5,6011,live,4,complete,0.21
2,3,def,def,PD,none,none,batch5,6011,live,4,complete,0.21
3,4,coop,coop,SG,none,none,batch5,6011,live,4,complete,0.21
0,1,coop,coop,SH,none,none,batch5,6011,live,4,complete,0.21
1,2,coop,coop,HG,trust,trust,batch6,7000,live,4,complete,0.28
2,3,coop,coop,PD,trust,trust,batch6,7000,live,4,complete,0.28
3,4,coop,coop,SG,trust,trust,batch6,7000,live,4,complete,0.28
0,1,coop,coop,SH,trust,trust,batch6,7000,live,4,complete,0.28
1,2,coop,coop,HG,trust,none,batch6,7005,live,4,complete,0.45
2,3,coop,coop,PD,trust,none,batch6,7005,live,4,complete,0.45
3,4,coop,def,SG,trust,none,batch6,7005,live,4,complete,0.45
0,1,coop,coop,SH,trust,none,batch6,7005,live,4,complete,0.45
1,2,coop,coop,HG,trust,trust,batch6,7008,live,4,complete,0.19
2,3,coop,coop,PD,trust,trust,batch6,7008,live,4,complete,0.19
3,4,coop,coop,SG,trust,trust,batch6,7008,live,4,complete,0.19
0,1,coop,coop,SH,trust,trust,batch6,7008,live,4,complete,0.19
1,2,coop,coop,HG,trust,trust,batch6,7009,live,3,complete,0.23
2,3,coop,coop,PD,trust,trust,batch6,7009,live,3,complete,0.23
3,4,coop,coop,SG,trust,trust,batch6,7009,live,3,complete,0.23
0,1,coop,coop,SH,trust,trust,batch6,7009,live,3,complete,0.23
1,2,coop,coop,HG,Nash,pess,batch6,7010,live,4,complete,0.24
2,3,def,def,PD,Nash,pess,batch6,7010,live,4,complete,0.24
