,trial,S,T,gt,player_type,choice,conf,score,score_cumul,radio_RT,submit_RT,block,self-report,batch,subID,mode,psiturk_status,data_status,bonus
10,10,3,8,SH,opt,coop,60%,1,5,2780,3838,0,to get the most points.,batch1,2005,live,4,complete,0.63
11,11,3,12,PD,opt,def,50%,1,6,12305,13261,0,to get the most points.,batch1,2005,live,4,complete,0.63
12,12,7,15,SG,opt,def,50%,1,7,2394,3693,0,to get the most points.,batch1,2005,live,4,complete,0.63
13,13,7,5,HG,opt,coop,100%,1,8,2642,3763,0,to get the most points.,batch1,2005,live,4,complete,0.63
14,14,3,5,SH,opt,coop,60%,1,9,2312,3106,0,to get the most points.,batch1,2005,live,4,complete,0.63
15,15,0,15,PD,opt,def,90%,1,10,3471,4146,0,to get the most points.,batch1,2005,live,4,complete,0.63
16,0,10,5,HG,pess,coop,100%,1,11,17728,19168,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
17,1,3,5,SH,pess,coop,70%,0,11,2584,3082,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
18,2,0,15,PD,pess,def,100%,1,12,1919,3281,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
19,3,7,12,SG,pess,def,60%,0,12,4245,4820,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
20,4,10,15,SG,pess,coop,50%,1,13,3015,4236,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
21,5,10,8,HG,pess,coop,100%,1,14,1374,2782,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
22,6,0,12,PD,pess,def,90%,1,15,2401,3087,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
23,7,0,5,SH,pess,def,70%,1,16,2990,3550,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
24,8,7,15,SG,pess,def,70%,0,16,2740,3728,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
25,9,0,8,SH,pess,def,80%,1,17,1866,2978,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
26,10,3,15,PD,pess,def,90%,1,18,1538,3279,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
27,11,7,5,HG,pess,coop,90%,1,19,4578,5683,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
28,12,3,12,PD,pess,def,100%,1,20,1631,2735,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
29,13,10,12,SG,pess,coop,100%,1,21,2599,3890,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
30,14,3,8,SH,pess,def,80%,1,22,2153,3762,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
31,15,7,8,HG,pess,coop,100%,1,23,2106,3662,1,"to be fair, but also get the most points.",batch1,2005,live,4,complete,0.63
0,0,7,12,SG,opt,def,80%,1,1,5890,9699,0,highest number,batch1,2007,live,4,complete,0.22
1,1,7,8,HG,opt,coop,80%,1,2,7120,8343,0,highest number,batch1,2007,live,4,complete,0.22
2,2,0,5,SH,opt,coop,70%,1,3,11609,12960,0,highest number,batch1,2007,live,4,complete,0.22
3,3,3,15,PD,opt,def,90%,1,4,3852,5653,0,highest number,batch1,2007,live,4,complete,0.22
4,4,0,12,PD,opt,def,90%,1,5,3231,4927,0,highest number,batch1,2007,live,4,complete,0.22
5,5,0,8,SH,opt,def,80%,0,5,4115,5235,0,highest number,batch1,2007,live,4,complete,0.22
6,6,10,12,SG,opt,def,90%,1,6,3044,6937,0,highest number,batch1,2007,live,4,complete,0.22
7,7,10,5,HG,opt,coop,100%,1,7,7614,8838,0,highest number,batch1,2007,live,4,complete,0.22
8,8,10,8,HG,opt,coop,90%,1,8,3972,5331,0,highest number,batch1,2007,live,4,complete,0.22
9,9,10,15,SG,opt,def,100%,1,9,3441,5832,0,highest number,batch1,2007,live,4,complete,0.22
10,10,3,8,SH,opt,coop,100%,1,10,3759,5453,0,highest number,batch1,2007,live,4,complete,0.22
11,11,3,12,PD,opt,def,100%,1,11,4277,5989,0,highest number,batch1,2007,live,4,complete,0.22
12,12,7,15,SG,opt,def,90%,1,12,2019,3442,0,highest number,batch1,2007,live,4,complete,0.22
13,13,7,5,HG,opt,coop,90%,1,13,2896,4160,0,highest number,batch1,2007,live,4,complete,0.22
14,14,3,5,SH,opt,coop,100%,1,14,3760,5401,0,highest number,batch1,2007,live,4,complete,0.22
15,15,0,15,PD,opt,def,90%,1,15,2597,3821,0,highest number,batch1,2007,live,4,complete,0.22
16,0,0,8,SH,pess,coop,90%,0,15,5360,8576,1,Highest number,batch1,2007,live,4,complete,0.22
17,1,3,15,PD,pess,def,80%,1,16,3701,5508,1,Highest number,batch1,2007,live,4,complete,0.22
18,2,10,12,SG,pess,def,90%,0,16,3050,7458,1,Highest number,batch1,2007,live,4,complete,0.22
19,3,7,8,HG,pess,coop,80%,1,17,4406,5967,1,Highest number,batch1,2007,live,4,complete,0.22
20,4,10,8,HG,pess,coop,90%,1,18,2904,5359,1,Highest number,batch1,2007,live,4,complete,0.22
21,5,0,15,PD,pess,def,90%,1,19,4086,5288,1,Highest number,batch1,2007,live,4,complete,0.22
22,6,3,8,SH,pess,coop,90%,0,19,1912,3656,1,Highest number,batch1,2007,live,4,complete,0.22
23,7,7,15,SG,pess,def,90%,0,19,2062,3382,1,Highest number,batch1,2007,live,4,complete,0.22
24,8,0,12,PD,pess,coop,80%,0,19,4051,5548,1,Highest number,batch1,2007,live,4,complete,0.22
25,9,3,5,SH,pess,coop,90%,0,19,3035,6828,1,Highest number,batch1,2007,live,4,complete,0.22
26,10,7,12,SG,pess,def,90%,0,19,4313,6025,1,Highest number,batch1,2007,live,4,complete,0.22
27,11,10,5,HG,pess,coop,80%,1,20,3355,4787,1,Highest number,batch1,2007,live,4,complete,0.22
28,12,0,5,SH,pess,coop,90%,0,20,3127,6223,1,Highest number,batch1,2007,live,4,complete,0.22
