sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,feature_weight_17,cost_type,SSE,LL,BIC,model_type,features
32,2042,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.096,0.0,3.353,-7.557,6.075,-8.657,-11.536,13.682,3.0839999999999996,-10.935,-4.907,6.718999999999999,16.855999999999998,-12.767999999999999,-4.3919999999999995,13.684000000000001,15.724,-2.305,-12.144,SSE,3.753,-0.057,79.132,FeatureRL,CoST
33,2044,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,1.8780000000000001,1.8780000000000001,0.24100000000000002,0.0,2.748,8.959,3.219,-1.98,-2.169,5.937,8.455,-4.357,-2.804,8.566,0.6890000000000001,-5.05,-3.997,2.677,2.585,-11.140999999999998,-10.158,SSE,3.553,1.696,75.627,FeatureRL,CoST
34,2045,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.012,0.012,0.22899999999999998,0.0,1.213,-5.711,-6.3260000000000005,-14.077,-5.187,-10.811,-0.777,-5.192,-6.306,11.505999999999998,7.832000000000001,-1.6380000000000001,2.7739999999999996,17.988,3.5869999999999997,8.978,10.475,SSE,5.395,-11.667,102.354,FeatureRL,CoST
35,2046,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.878,0.878,0.261,0.0,3.2230000000000003,8.231,6.138,-2.329,-5.665,5.327000000000001,9.142000000000001,0.19699999999999998,-8.842,8.077,3.3489999999999998,-0.465,-1.655,2.6860000000000004,4.137,-8.006,-3.8139999999999996,SSE,3.3510000000000004,3.572,71.876,FeatureRL,CoST
36,2047,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.07,0.0,-0.997,-0.418,-1.126,-11.04,-9.39,1.709,-6.252999999999999,-12.754000000000001,-4.026,14.735999999999999,8.246,-19.766,3.8369999999999997,19.567999999999998,18.55,2.4130000000000003,-1.857,SSE,4.941,-8.851,96.72,FeatureRL,CoST
37,2048,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.099,0.0,1.0759999999999998,-3.613,-5.705,-9.048,-13.588,-0.062,-4.65,1.9809999999999999,-8.467,4.093999999999999,10.72,-2.082,1.47,19.796,8.737,0.447,4.09,SSE,2.891,8.301,62.416000000000004,FeatureRL,CoST
38,2050,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.08800000000000001,0.0,1.104,-0.532,4.687,-19.666,-1.671,0.599,-2.802,-5.111000000000001,-10.706,9.184,0.599,-2.237,-8.119,5.292999999999999,19.682000000000002,-5.111000000000001,1.744,SSE,5.268,-10.908,100.834,FeatureRL,CoST
39,2051,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,2.234,2.234,0.311,0.0,2.441,5.546,4.993,-2.364,-4.945,4.711,4.599,-0.748,-2.905,4.583,3.812,0.13699999999999998,-6.475,4.4910000000000005,5.107,-0.499,-3.6630000000000003,SSE,1.7690000000000001,24.025,30.968000000000004,FeatureRL,CoST
40,2053,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.273,0.273,0.23399999999999999,0.0,3.715,12.755,6.1979999999999995,-2.489,-3.719,1.166,-2.85,-2.765,-4.427,1.554,1.442,-3.7239999999999998,-7.881,10.033,2.049,-3.89,-3.4960000000000004,SSE,6.067,-15.425,109.868,FeatureRL,CoST
41,2054,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.081,0.0,3.0239999999999996,1.979,-11.329,-19.178,0.705,12.222000000000001,3.279,-19.169,-16.569000000000003,18.355999999999998,0.078,-7.377000000000001,-10.652000000000001,13.130999999999998,7.438,17.203,0.7140000000000001,SSE,3.614,1.157,76.705,FeatureRL,CoST
42,2055,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,1.538,1.538,0.149,0.0,0.138,5.496,4.351,-5.686,-10.556,7.898,1.429,3.44,-14.734000000000002,12.162,4.506,-2.5810000000000004,-5.011,8.655,10.602,-1.456,-1.8019999999999998,SSE,4.61,-6.6370000000000005,92.29299999999999,FeatureRL,CoST
43,2057,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.08,0.0,6.15,-11.202,-13.870999999999999,-1.734,11.157,7.559,-8.017999999999999,-5.518,1.581,-10.554,8.408999999999999,-16.71,-6.145,19.593,-6.147,-11.204,-9.276,SSE,6.744,-18.807000000000002,116.633,FeatureRL,CoST
44,2058,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.15,0.0,2.845,-11.065,-12.595999999999998,-6.599,-11.56,-1.175,-11.558,-11.074000000000002,-13.158,12.749,2.7889999999999997,0.5529999999999999,-7.331,16.73,9.374,-0.833,1.641,SSE,1.69,25.484,28.051,FeatureRL,CoST
45,2059,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,1.196,1.196,0.34700000000000003,0.0,2.528,1.146,2.662,-1.94,-4.453,1.0490000000000002,1.2329999999999999,-2.7460000000000004,-3.822,1.3559999999999999,-0.385,-1.719,-2.5,2.8310000000000004,0.040999999999999995,-1.395,-4.6819999999999995,SSE,1.69,25.475,28.068,FeatureRL,CoST
46,2062,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.09300000000000001,0.0,4.149,9.884,1.329,-8.482000000000001,-9.606,9.88,0.205,-6.831,4.928,10.698,5.579,-2.531,-9.607999999999999,4.931,4.934,-8.477,-6.827999999999999,SSE,3.2089999999999996,4.96,69.09899999999999,FeatureRL,CoST
47,2063,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.14400000000000002,0.0,2.327,9.76,7.34,-2.324,-15.049000000000001,10.508,12.932,-5.872000000000001,-4.771,4.842,9.106,-7.0089999999999995,1.601,4.419,4.859,-7.007999999999999,-8.64,SSE,3.61,1.193,76.632,FeatureRL,CoST
48,2065,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.125,0.0,1.9669999999999999,0.46399999999999997,-8.279,-16.687,-15.087,7.375,-1.159,-16.663,-9.728,11.933,6.319,-1.966,-2.762,18.167,14.58,7.375,-5.209,SSE,4.279,-4.248,87.515,FeatureRL,CoST
49,2066,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.09,0.0,2.166,14.104000000000001,-1.595,-9.042,-18.433,18.213,-1.608,-12.235999999999999,-1.605,9.302,11.552999999999999,-4.381,-1.6,0.6459999999999999,14.125,-1.598,-4.399,SSE,3.94,-1.6130000000000002,82.245,FeatureRL,CoST
50,2067,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.152,0.0,1.0270000000000001,10.415999999999999,13.456,-0.693,3.054,8.654,0.308,-4.736000000000001,-2.338,12.6,10.425,-4.395,-8.258,5.789,4.57,-8.704,-9.173,SSE,2.721,10.232000000000001,58.553999999999995,FeatureRL,CoST
51,2069,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,2.355,2.355,0.179,0.0,4.29,8.87,1.399,-9.914,-6.563,4.343,-1.1440000000000001,-2.536,-10.376,8.941,2.687,-5.358,-6.702000000000001,-0.342,4.0969999999999995,-6.394,-1.719,SSE,2.905,8.14,62.738,FeatureRL,CoST
