,sub,subID,Block,Player,Type,Variant,Type_Total,Trial,S,T,GameType,Colors,CorrAns,GivenAns,ConfidenceNum,ScoreNum,RT_radio,RT_submit,SelfReport
101,5,5005,6,N.N.,opt,inv,opt_inv,5,0,8,SH,"['Not', 'Defined']",def,coop,80,0,2147,3608,not defined
102,5,5005,6,N.N.,opt,inv,opt_inv,6,10,12,SG,"['Not', 'Defined']",coop,coop,59,1,939,3506,not defined
103,5,5005,6,N.N.,opt,inv,opt_inv,7,10,5,HG,"['Not', 'Defined']",def,def,46,1,587,2046,not defined
104,5,5005,6,N.N.,opt,inv,opt_inv,8,10,8,HG,"['Not', 'Defined']",def,coop,50,0,620,2231,not defined
105,5,5005,6,N.N.,opt,inv,opt_inv,9,10,15,SG,"['Not', 'Defined']",coop,def,50,0,4025,5383,not defined
106,5,5005,6,N.N.,opt,inv,opt_inv,10,3,8,SH,"['Not', 'Defined']",def,coop,62,0,2080,4144,not defined
107,5,5005,6,N.N.,opt,inv,opt_inv,11,3,12,PD,"['Not', 'Defined']",coop,def,61,0,3203,4463,not defined
108,5,5005,6,N.N.,opt,inv,opt_inv,12,7,15,SG,"['Not', 'Defined']",coop,def,55,0,2951,4261,not defined
109,5,5005,6,N.N.,opt,inv,opt_inv,13,7,5,HG,"['Not', 'Defined']",def,coop,63,0,3001,4311,not defined
110,5,5005,6,N.N.,opt,inv,opt_inv,14,3,5,SH,"['Not', 'Defined']",def,def,59,1,1543,3003,not defined
111,5,5005,6,N.N.,opt,inv,opt_inv,15,0,15,PD,"['Not', 'Defined']",coop,def,58,0,2146,3557,not defined
112,5,5005,7,N.N.,pes,_inv,pess_inv,0,10,12,SG,"['Not', 'Defined']",def,coop,41,0,5433,7547,not defined
113,5,5005,7,N.N.,pes,_inv,pess_inv,1,0,12,PD,"['Not', 'Defined']",coop,def,52,0,2096,3305,not defined
114,5,5005,7,N.N.,pes,_inv,pess_inv,2,3,5,SH,"['Not', 'Defined']",coop,coop,73,1,8183,9996,not defined
115,5,5005,7,N.N.,pes,_inv,pess_inv,3,7,8,HG,"['Not', 'Defined']",def,coop,66,0,2096,3406,not defined
116,5,5005,7,N.N.,pes,_inv,pess_inv,4,10,5,HG,"['Not', 'Defined']",def,coop,73,0,3321,4428,not defined
117,5,5005,7,N.N.,pes,_inv,pess_inv,5,3,12,PD,"['Not', 'Defined']",coop,def,88,0,13735,15043,not defined
118,5,5005,7,N.N.,pes,_inv,pess_inv,6,3,8,SH,"['Not', 'Defined']",coop,coop,71,1,7898,9610,not defined
119,5,5005,7,N.N.,pes,_inv,pess_inv,7,10,15,SG,"['Not', 'Defined']",def,def,78,1,6976,8587,not defined
120,5,5005,7,N.N.,pes,_inv,pess_inv,8,0,15,PD,"['Not', 'Defined']",coop,def,63,0,18278,19538,not defined
121,5,5005,7,N.N.,pes,_inv,pess_inv,9,7,12,SG,"['Not', 'Defined']",def,coop,58,0,1744,2853,not defined
122,5,5005,7,N.N.,pes,_inv,pess_inv,10,0,5,SH,"['Not', 'Defined']",coop,coop,76,1,4176,5686,not defined
123,5,5005,7,N.N.,pes,_inv,pess_inv,11,7,5,HG,"['Not', 'Defined']",def,coop,65,0,6222,8235,not defined
124,5,5005,7,N.N.,pes,_inv,pess_inv,12,10,8,HG,"['Not', 'Defined']",def,coop,59,0,2833,4948,not defined
125,5,5005,7,N.N.,pes,_inv,pess_inv,13,0,8,SH,"['Not', 'Defined']",coop,coop,68,1,6757,9427,not defined
126,5,5005,7,N.N.,pes,_inv,pess_inv,14,7,15,SG,"['Not', 'Defined']",def,coop,57,0,4243,5401,not defined
127,5,5005,7,N.N.,pes,_inv,pess_inv,15,3,15,PD,"['Not', 'Defined']",coop,coop,75,1,3203,4815,not defined
128,6,5006,0,N.N.,pes,_nat,pess_nat,0,0,12,PD,"['Not', 'Defined']",def,def,79,1,12341,16686,not defined
129,6,5006,0,N.N.,pes,_nat,pess_nat,1,0,8,SH,"['Not', 'Defined']",def,def,69,1,9926,14187,not defined
130,6,5006,0,N.N.,pes,_nat,pess_nat,2,7,15,SG,"['Not', 'Defined']",coop,def,55,0,16852,20325,not defined
131,6,5006,0,N.N.,pes,_nat,pess_nat,3,7,8,HG,"['Not', 'Defined']",coop,coop,34,1,11050,13751,not defined
132,6,5006,0,N.N.,pes,_nat,pess_nat,4,3,12,PD,"['Not', 'Defined']",def,def,54,1,5197,6992,not defined
133,6,5006,0,N.N.,pes,_nat,pess_nat,5,0,5,SH,"['Not', 'Defined']",def,def,36,1,20012,22019,not defined
134,6,5006,0,N.N.,pes,_nat,pess_nat,6,10,8,HG,"['Not', 'Defined']",coop,coop,73,1,10680,14741,not defined
135,6,5006,0,N.N.,pes,_nat,pess_nat,7,10,15,SG,"['Not', 'Defined']",coop,def,39,0,16550,18061,not defined
136,6,5006,0,N.N.,pes,_nat,pess_nat,8,10,12,SG,"['Not', 'Defined']",coop,coop,38,1,5532,7731,not defined
137,6,5006,0,N.N.,pes,_nat,pess_nat,9,0,15,PD,"['Not', 'Defined']",def,def,92,1,5165,13533,not defined
138,6,5006,0,N.N.,pes,_nat,pess_nat,10,10,5,HG,"['Not', 'Defined']",coop,coop,89,1,8066,10802,not defined
139,6,5006,0,N.N.,pes,_nat,pess_nat,11,3,8,SH,"['Not', 'Defined']",def,def,30,1,15979,17390,not defined
140,6,5006,0,N.N.,pes,_nat,pess_nat,12,7,12,SG,"['Not', 'Defined']",coop,def,14,0,14604,18547,not defined
141,6,5006,0,N.N.,pes,_nat,pess_nat,13,3,15,PD,"['Not', 'Defined']",def,def,69,1,6774,12377,not defined
142,6,5006,0,N.N.,pes,_nat,pess_nat,14,3,5,SH,"['Not', 'Defined']",def,coop,41,0,9373,16971,not defined
143,6,5006,0,N.N.,pes,_nat,pess_nat,15,7,5,HG,"['Not', 'Defined']",coop,coop,48,1,10445,26177,not defined
144,6,5006,1,N.N.,opt,nat,opt_nat,0,0,5,SH,"['Not', 'Defined']",coop,def,41,0,11118,14004,not defined
145,6,5006,1,N.N.,opt,nat,opt_nat,1,10,5,HG,"['Not', 'Defined']",coop,coop,77,1,3840,5702,not defined
146,6,5006,1,N.N.,opt,nat,opt_nat,2,3,15,PD,"['Not', 'Defined']",def,def,60,1,3268,7061,not defined
147,6,5006,1,N.N.,opt,nat,opt_nat,3,7,12,SG,"['Not', 'Defined']",def,def,65,1,2816,8318,not defined
148,6,5006,1,N.N.,opt,nat,opt_nat,4,10,8,HG,"['Not', 'Defined']",coop,coop,58,1,2447,4914,not defined
149,6,5006,1,N.N.,opt,nat,opt_nat,5,0,15,PD,"['Not', 'Defined']",def,def,87,1,2530,6338,not defined
150,6,5006,1,N.N.,opt,nat,opt_nat,6,3,5,SH,"['Not', 'Defined']",coop,coop,85,1,3185,6255,not defined
151,6,5006,1,N.N.,opt,nat,opt_nat,7,7,15,SG,"['Not', 'Defined']",def,def,75,1,3018,4277,not defined
152,6,5006,1,N.N.,opt,nat,opt_nat,8,3,12,PD,"['Not', 'Defined']",def,def,69,1,2586,4411,not defined
153,6,5006,1,N.N.,opt,nat,opt_nat,9,10,12,SG,"['Not', 'Defined']",def,def,78,1,4056,5553,not defined
154,6,5006,1,N.N.,opt,nat,opt_nat,10,7,8,HG,"['Not', 'Defined']",coop,coop,87,1,3117,5970,not defined
155,6,5006,1,N.N.,opt,nat,opt_nat,11,3,8,SH,"['Not', 'Defined']",coop,coop,68,1,3638,5417,not defined
156,6,5006,1,N.N.,opt,nat,opt_nat,12,0,12,PD,"['Not', 'Defined']",def,def,63,1,2330,4327,not defined
157,6,5006,1,N.N.,opt,nat,opt_nat,13,0,8,SH,"['Not', 'Defined']",coop,coop,58,1,4896,9676,not defined
158,6,5006,1,N.N.,opt,nat,opt_nat,14,10,15,SG,"['Not', 'Defined']",def,def,72,1,3186,4663,not defined
159,6,5006,1,N.N.,opt,nat,opt_nat,15,7,5,HG,"['Not', 'Defined']",coop,coop,78,1,4107,5485,not defined
160,6,5006,2,N.N.,opt,inv,opt_inv,0,0,8,SH,"['Not', 'Defined']",def,def,56,1,6622,11001,not defined
161,6,5006,2,N.N.,opt,inv,opt_inv,1,7,5,HG,"['Not', 'Defined']",def,coop,61,0,5852,9357,not defined
162,6,5006,2,N.N.,opt,inv,opt_inv,2,10,15,SG,"['Not', 'Defined']",coop,def,58,0,8148,10749,not defined
163,6,5006,2,N.N.,opt,inv,opt_inv,3,3,12,PD,"['Not', 'Defined']",coop,def,46,0,11402,15126,not defined
164,6,5006,2,N.N.,opt,inv,opt_inv,4,7,15,SG,"['Not', 'Defined']",coop,coop,35,1,11050,20225,not defined
