,sub,subID,Block,Player,Type,Variant,Type_Total,Trial,S,T,GameType,Colors,CorrAns,GivenAns,ConfidenceNum,ScoreNum,RT_radio,RT_submit,SelfReport
78,4,2004,0,F.A.,opt,nat,opt_nat,14,3,5,SH,"['Blue', 'Red']",coop,coop,100.0,1,3628.0,5044.0,maximize earnings
79,4,2004,0,F.A.,opt,nat,opt_nat,15,7,5,HG,"['Blue', 'Red']",coop,coop,100.0,1,2019.0,3962.0,maximize earnings
80,4,2004,1,D.T.,pess,nat,pess_nat,0,10,5,HG,"['Blue', 'Yellow']",coop,coop,100.0,1,3769.0,5765.0,random
81,4,2004,1,D.T.,pess,nat,pess_nat,1,0,15,PD,"['Blue', 'Yellow']",def,def,70.0,1,2707.0,5330.0,random
82,4,2004,1,D.T.,pess,nat,pess_nat,2,7,12,SG,"['Blue', 'Yellow']",coop,def,80.0,0,4788.0,6148.0,random
83,4,2004,1,D.T.,pess,nat,pess_nat,3,0,8,SH,"['Blue', 'Yellow']",def,coop,100.0,0,15191.0,16862.0,random
84,4,2004,1,D.T.,pess,nat,pess_nat,4,0,5,SH,"['Blue', 'Yellow']",def,coop,100.0,0,5472.0,6755.0,random
85,4,2004,1,D.T.,pess,nat,pess_nat,5,10,15,SG,"['Blue', 'Yellow']",coop,def,90.0,0,2072.0,3456.0,random
86,4,2004,1,D.T.,pess,nat,pess_nat,6,7,5,HG,"['Blue', 'Yellow']",coop,def,50.0,0,4014.0,5247.0,random
87,4,2004,1,D.T.,pess,nat,pess_nat,7,0,12,PD,"['Blue', 'Yellow']",def,def,50.0,1,2564.0,3709.0,random
88,4,2004,1,D.T.,pess,nat,pess_nat,8,10,8,HG,"['Blue', 'Yellow']",coop,coop,50.0,1,6892.0,7630.0,random
89,4,2004,1,D.T.,pess,nat,pess_nat,9,3,15,PD,"['Blue', 'Yellow']",def,def,20.0,1,2830.0,5142.0,random
90,4,2004,1,D.T.,pess,nat,pess_nat,10,3,8,SH,"['Blue', 'Yellow']",def,coop,20.0,0,3321.0,4490.0,random
91,4,2004,1,D.T.,pess,nat,pess_nat,11,10,12,SG,"['Blue', 'Yellow']",coop,def,30.0,0,3764.0,6501.0,random
92,4,2004,1,D.T.,pess,nat,pess_nat,12,3,12,PD,"['Blue', 'Yellow']",def,def,10.0,1,4370.0,5786.0,random
