,sub,subID,Trial,Variant,Type_Total,CorrAns,GivenAns,Confidence,sub_score,model_pred_coop,model_pred,model_score
212,6,2006,4,nat,pess_nat,def,coop,60,0,0.736886666042359,coop,0
213,6,2006,5,nat,pess_nat,def,def,30,1,0.37884047871216403,def,1
214,6,2006,6,nat,pess_nat,coop,def,30,0,0.355699845874546,def,0
215,6,2006,7,nat,pess_nat,coop,coop,40,1,0.6976446709542861,coop,1
216,6,2006,8,nat,pess_nat,coop,def,50,0,0.39539787678310795,def,0
217,6,2006,9,nat,pess_nat,def,coop,50,0,0.7141451884569,coop,0
218,6,2006,10,nat,pess_nat,coop,coop,20,1,0.6743309217700539,coop,1
219,6,2006,11,nat,pess_nat,def,def,20,1,0.43395909609466404,def,1
220,6,2006,12,nat,pess_nat,coop,coop,20,1,0.406172099237815,def,0
221,6,2006,13,nat,pess_nat,def,def,10,1,0.44431116313366203,def,1
222,6,2006,14,nat,pess_nat,def,coop,10,0,0.692847195179538,coop,0
223,6,2006,15,nat,pess_nat,coop,coop,20,1,0.652784341015051,coop,1
224,6,2006,0,inv,pess_inv,coop,def,10,0,0.36464444865967793,def,0
225,6,2006,1,inv,pess_inv,def,coop,20,0,0.7633701622340551,coop,0
226,6,2006,2,inv,pess_inv,coop,coop,20,1,0.7252272610263739,coop,1
227,6,2006,3,inv,pess_inv,def,def,40,1,0.4041472409906551,def,1
228,6,2006,4,inv,pess_inv,coop,coop,20,1,0.37884047871216403,def,0
229,6,2006,5,inv,pess_inv,coop,def,20,0,0.73938681680187,coop,1
230,6,2006,6,inv,pess_inv,def,def,20,1,0.417959024494811,def,1
231,6,2006,7,inv,pess_inv,def,coop,60,0,0.752372208880481,coop,0
232,6,2006,8,inv,pess_inv,coop,def,10,0,0.39149146208659297,def,0
233,6,2006,9,inv,pess_inv,coop,coop,80,1,0.713713932925196,coop,1
234,6,2006,10,inv,pess_inv,def,coop,70,0,0.7288431302029971,coop,0
235,6,2006,11,inv,pess_inv,def,def,50,1,0.43019437030036406,def,1
236,6,2006,12,inv,pess_inv,def,def,70,1,0.402715095060003,def,1
237,6,2006,13,inv,pess_inv,coop,coop,80,1,0.37752968754397703,def,0
238,6,2006,14,inv,pess_inv,coop,coop,80,1,0.68936099231502,coop,1
239,6,2006,15,inv,pess_inv,def,coop,80,0,0.706574897101678,coop,0
240,6,2006,0,inv,opt_inv,def,coop,10,0,0.7633701622340551,coop,0
241,6,2006,1,inv,opt_inv,coop,def,10,0,0.36464444865967793,def,0
242,6,2006,2,inv,opt_inv,coop,coop,10,1,0.4041472409906551,def,0
243,6,2006,3,inv,opt_inv,def,def,20,1,0.7252272610263739,coop,0
244,6,2006,4,inv,opt_inv,coop,def,60,0,0.442369090493272,def,0
245,6,2006,5,inv,opt_inv,def,coop,30,0,0.685650794643334,coop,0
246,6,2006,6,inv,opt_inv,def,def,20,1,0.6455631073928921,coop,0
247,6,2006,7,inv,opt_inv,coop,def,20,0,0.478777660089496,def,0
248,6,2006,8,inv,opt_inv,def,coop,10,0,0.605840525303461,coop,0
249,6,2006,9,inv,opt_inv,coop,def,10,0,0.513021900961379,coop,1
250,6,2006,10,inv,opt_inv,def,coop,10,0,0.5672337212965041,coop,0
251,6,2006,11,inv,opt_inv,coop,def,50,0,0.54491253569285,coop,1
252,6,2006,12,inv,opt_inv,coop,coop,20,1,0.574390510711437,coop,1
253,6,2006,13,inv,opt_inv,def,coop,20,0,0.530321877883645,coop,0
254,6,2006,14,inv,opt_inv,coop,def,20,0,0.601492682711666,coop,1
255,6,2006,15,inv,opt_inv,def,coop,10,0,0.495501195735012,def,1
256,8,2008,0,nat,opt_nat,def,coop,80,0,0.2762971425934289,def,1
257,8,2008,1,nat,opt_nat,def,def,80,1,0.2657782715554,def,1
258,8,2008,2,nat,opt_nat,coop,coop,100,1,0.744095730424846,coop,1
