,BIC,LL,LR_down,LR_up,SSE,asymm_LR,best_model,bounded_weights,comb,comb_index,cost_type,feature_names,feature_weight_1,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,feature_weight_17,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,features,fit_to,gaze,gaze_bias,inv_temp,model_descr,model_type,sub_ID,sub_ind
79,27.777,-1.412,0.445,0.445,3.916,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,4.26,,,,,,,,,6.822,0.833,-1.7280000000000002,,,,,,CoGrRiNa,joint,0,0.0,0.235,All Motives,FeatureRL,2046,35
80,-31.794,28.374,1.084,1.084,1.544,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.765,,,,,,,,,2.689,2.141,0.87,,,,,,CoGrRiNa,joint,0,0.0,0.341,All Motives,FeatureRL,2047,36
81,-24.956,24.955,0.502,0.502,1.7180000000000002,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.318,,,,,,,,,0.996,1.919,0.73,,,,,,CoGrRiNa,joint,0,0.0,0.355,All Motives,FeatureRL,2048,37
82,37.084,-6.065,0.449,0.449,4.529,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.04,,,,,,,,,1.824,1.053,-0.133,,,,,,CoGrRiNa,joint,0,0.0,0.31,All Motives,FeatureRL,2050,38
83,-8.873,16.913,0.22,0.22,2.209,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.7009999999999998,,,,,,,,,2.984,-0.7120000000000001,1.82,,,,,,CoGrRiNa,joint,0,0.0,0.329,All Motives,FeatureRL,2051,39
84,-13.139,19.046,0.965,0.965,2.066,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,4.572,,,,,,,,,11.140999999999998,-4.044,0.955,,,,,,CoGrRiNa,joint,0,0.0,0.07200000000000001,All Motives,FeatureRL,2006,4
85,54.368,-14.707,0.226,0.226,5.933,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.335,,,,,,,,,1.609,-0.242,0.252,,,,,,CoGrRiNa,joint,0,0.0,0.56,All Motives,FeatureRL,2053,40
86,32.581,-3.814,0.141,0.141,4.221,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.878,,,,,,,,,0.104,-0.502,4.424,,,,,,CoGrRiNa,joint,0,0.0,0.24,All Motives,FeatureRL,2054,41
87,42.088,-8.567,0.2,0.2,4.897,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.379,,,,,,,,,1.846,0.416,0.631,,,,,,CoGrRiNa,joint,0,0.0,0.459,All Motives,FeatureRL,2055,42
88,53.983,-14.515,1.004,1.004,5.898,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.755,,,,,,,,,0.5670000000000001,-1.17,1.331,,,,,,CoGrRiNa,joint,0,0.0,0.247,All Motives,FeatureRL,2057,43
89,-6.542999999999998,15.748,0.15,0.15,2.291,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.481,,,,,,,,,0.353,2.815,3.286,,,,,,CoGrRiNa,joint,0,0.0,0.247,All Motives,FeatureRL,2058,44
90,-11.362,18.158,0.225,0.225,2.124,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.543,,,,,,,,,3.162,0.042,0.597,,,,,,CoGrRiNa,joint,0,0.0,0.21600000000000005,All Motives,FeatureRL,2059,45
91,13.307,5.823,0.423,0.423,3.123,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.374,,,,,,,,,2.629,-0.534,0.7809999999999999,,,,,,CoGrRiNa,joint,0,0.0,0.211,All Motives,FeatureRL,2062,46
92,4.584,10.185,0.412,0.412,2.725,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.6980000000000002,,,,,,,,,4.026,0.376,-0.94,,,,,,CoGrRiNa,joint,0,0.0,0.398,All Motives,FeatureRL,2063,47
93,6.994,8.98,1.123,1.123,2.83,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.521,,,,,,,,,5.562,5.854,6.376,,,,,,CoGrRiNa,joint,0,0.0,0.168,All Motives,FeatureRL,2065,48
94,30.471,-2.759,0.32,0.32,4.084,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.061,,,,,,,,,1.696,0.181,1.52,,,,,,CoGrRiNa,joint,0,0.0,0.272,All Motives,FeatureRL,2066,49
95,57.976000000000006,-16.512,0.362,0.362,6.277,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.954,,,,,,,,,3.665,0.682,-1.517,,,,,,CoGrRiNa,joint,0,0.0,0.331,All Motives,FeatureRL,2008,5
96,16.639,4.157,0.17600000000000002,0.17600000000000002,3.29,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.685,,,,,,,,,3.6,-1.126,-0.11,,,,,,CoGrRiNa,joint,0,0.0,0.281,All Motives,FeatureRL,2067,50
97,22.661,1.146,0.01,0.01,3.615,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,6.483,,,,,,,,,19.959,2.559,0.909,,,,,,CoGrRiNa,joint,0,0.0,0.042,All Motives,FeatureRL,2069,51
98,52.69600000000001,-13.871,0.01,0.01,5.78,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,8.347999999999999,,,,,,,,,19.998,0.067,-3.939,,,,,,CoGrRiNa,joint,0,0.0,0.111,All Motives,FeatureRL,2070,52
99,34.395,-4.721,0.354,0.354,4.342,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.635,,,,,,,,,0.7959999999999999,1.368,2.13,,,,,,CoGrRiNa,joint,0,0.0,0.326,All Motives,FeatureRL,2071,53
100,28.919,-1.983,0.345,0.345,3.986,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,6.475,,,,,,,,,6.895,0.12,-0.331,,,,,,CoGrRiNa,joint,0,0.0,0.103,All Motives,FeatureRL,2072,54
101,58.837,-16.942,0.17,0.17,6.362,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.67,,,,,,,,,3.384,0.6409999999999999,1.263,,,,,,CoGrRiNa,joint,0,0.0,0.257,All Motives,FeatureRL,2073,55
