sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,cost_type,SSE,LL,BIC
179,5033,joint,11,1011,Coop_Risk_Nash,0,0,0,0.244,0.244,0.18899999999999997,0.0,0.079,1.004,2.246,,SSE,9.472000000000001,-14.99,54.24
179,5033,joint,12,1100,Coop_Greed,0,0,0,0.486,0.486,0.18600000000000003,0.0,0.09699999999999999,2.614,,,SSE,9.622,-15.995999999999999,51.4
179,5033,joint,13,1101,Coop_Greed_Nash,0,0,0,0.38799999999999996,0.38799999999999996,0.254,0.0,0.048,1.253,1.736,,SSE,8.722999999999999,-9.716000000000001,43.692
179,5033,joint,14,1110,Coop_Greed_Risk,0,0,0,0.271,0.271,0.23199999999999998,0.0,0.03,2.021,1.744,,SSE,8.63,-9.029,42.318999999999996
179,5033,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.259,0.259,0.23399999999999999,0.0,0.011000000000000001,2.106,1.788,0.063,SSE,8.408,-7.361000000000001,43.833999999999996
180,5034,joint,1,0001,Nash,0,0,0,0.539,0.539,0.27899999999999997,0.0,2.87,,,,SSE,9.151,-12.78,40.116
180,5034,joint,2,0010,Risk,0,0,0,0.335,0.335,0.221,0.0,3.025,,,,SSE,9.062999999999999,-12.165999999999999,38.887
180,5034,joint,3,0011,Risk_Nash,0,0,0,0.42100000000000004,0.42100000000000004,0.18899999999999997,0.0,2.6710000000000003,2.423,,,SSE,8.3,-6.537000000000001,32.483000000000004
180,5034,joint,4,0100,Greed,0,0,0,0.42,0.42,0.061,0.0,4.874,,,,SSE,11.232999999999999,-25.901999999999997,66.359
180,5034,joint,5,0101,Greed_Nash,0,0,0,0.20800000000000002,0.20800000000000002,0.239,0.0,-0.1,3.016,,,SSE,9.421,-14.644,48.695
180,5034,joint,6,0110,Greed_Risk,0,0,0,0.228,0.228,0.25,0.0,1.358,2.625,,,SSE,8.422,-7.47,34.348
180,5034,joint,7,0111,Greed_Risk_Nash,0,0,0,0.237,0.237,0.24,0.0,1.161,2.49,0.8440000000000001,,SSE,8.184,-5.635,35.531
180,5034,joint,8,1000,Coop,0,0,0,0.01,0.01,0.01,0.0,-5.261,,,,SSE,11.887,-29.526,73.608
180,5034,joint,9,1001,Coop_Nash,0,0,0,0.517,0.517,0.289,0.0,-0.228,2.7569999999999997,,,SSE,9.125,-12.6,44.607
180,5034,joint,10,1010,Coop_Risk,0,0,0,0.312,0.312,0.23199999999999998,0.0,-0.228,2.845,,,SSE,9.065,-12.181,43.77
180,5034,joint,11,1011,Coop_Risk_Nash,0,0,0,0.40399999999999997,0.40399999999999997,0.203,0.0,-0.335,2.458,2.294,,SSE,8.26,-6.225,36.711
180,5034,joint,12,1100,Coop_Greed,0,0,0,0.161,0.161,0.147,0.0,-0.358,2.017,,,SSE,11.22,-25.828000000000003,71.065
180,5034,joint,13,1101,Coop_Greed_Nash,0,0,0,0.237,0.237,0.222,0.0,-0.299,-0.11,3.284,,SSE,9.381,-14.375,53.00899999999999
180,5034,joint,14,1110,Coop_Greed_Risk,0,0,0,0.255,0.255,0.23399999999999999,0.0,-0.3,1.46,2.806,,SSE,8.389,-7.22,38.699
180,5034,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.249,0.249,0.24,0.0,-0.305,1.159,2.483,0.888,SSE,8.137,-5.267,39.646
181,5035,joint,1,0001,Nash,0,0,0,1.041,1.041,0.263,0.0,4.761,,,,SSE,17.3,-53.542,121.639
181,5035,joint,2,0010,Risk,0,0,0,0.19899999999999998,0.19899999999999998,0.22399999999999998,0.0,3.182,,,,SSE,18.896,-59.18899999999999,132.933
181,5035,joint,3,0011,Risk_Nash,0,0,0,0.322,0.322,0.251,0.0,1.955,2.645,,,SSE,17.320999999999998,-53.619,126.646
181,5035,joint,4,0100,Greed,0,0,0,0.715,0.715,0.424,0.0,2.528,,,,SSE,15.898,-48.13399999999999,110.824
181,5035,joint,5,0101,Greed_Nash,0,0,0,0.595,0.595,0.41600000000000004,0.0,1.865,2.324,,,SSE,14.402999999999999,-41.81100000000001,103.03
181,5035,joint,6,0110,Greed_Risk,0,0,0,0.75,0.75,0.282,0.0,4.119,3.9530000000000003,,,SSE,13.087,-35.68,90.76799999999999
181,5035,joint,7,0111,Greed_Risk_Nash,0,0,0,0.375,0.375,0.46399999999999997,0.0,2.799,2.665,0.001,,SSE,13.042,-35.459,95.179
181,5035,joint,8,1000,Coop,0,0,0,0.01,0.01,0.01,0.0,1.3730000000000002,,,,SSE,22.2,-69.502,153.561
181,5035,joint,9,1001,Coop_Nash,0,0,0,0.5870000000000001,0.5870000000000001,0.363,0.0,-0.065,3.089,,,SSE,17.672,-54.903,129.215
181,5035,joint,10,1010,Coop_Risk,0,0,0,0.179,0.179,0.19699999999999998,0.0,0.12300000000000001,3.548,,,SSE,18.947,-59.36,138.128
181,5035,joint,11,1011,Coop_Risk_Nash,0,0,0,0.313,0.313,0.237,0.0,0.09300000000000001,2.02,2.7119999999999997,,SSE,17.416,-53.97,132.19899999999998
181,5035,joint,12,1100,Coop_Greed,0,0,0,0.795,0.795,0.34299999999999997,0.0,0.011000000000000001,2.955,,,SSE,16.141,-49.105,117.618
181,5035,joint,13,1101,Coop_Greed_Nash,0,0,0,0.625,0.625,0.392,0.0,-0.039,1.9509999999999998,2.414,,SSE,14.511,-42.291000000000004,108.84299999999999
181,5035,joint,14,1110,Coop_Greed_Risk,0,0,0,0.609,0.609,0.361,0.0,-0.049,3.222,3.094,,SSE,13.058,-35.538000000000004,95.337
181,5035,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.461,0.461,0.38299999999999995,0.0,-0.043,3.352,3.202,0.013000000000000001,SSE,13.057,-35.533,100.178
182,5036,joint,1,0001,Nash,0,0,0,0.773,0.773,0.147,0.0,4.435,,,,SSE,8.237,-6.0489999999999995,26.654
182,5036,joint,2,0010,Risk,0,0,0,0.245,0.245,0.16899999999999998,0.0,1.2429999999999999,,,,SSE,9.854,-17.519000000000002,49.593999999999994
182,5036,joint,3,0011,Risk_Nash,0,0,0,0.27399999999999997,0.27399999999999997,0.16699999999999998,0.0,-0.7120000000000001,4.099,,,SSE,8.197000000000001,-5.74,30.888
182,5036,joint,4,0100,Greed,0,0,0,0.8490000000000001,0.8490000000000001,0.23800000000000002,0.0,3.61,,,,SSE,5.5089999999999995,19.698,-24.84
182,5036,joint,5,0101,Greed_Nash,0,0,0,0.688,0.688,0.213,0.0,3.176,1.7409999999999999,,,SSE,5.531000000000001,19.439,-19.471
182,5036,joint,6,0110,Greed_Risk,0,0,0,0.5329999999999999,0.5329999999999999,0.265,0.0,3.0980000000000003,1.008,,,SSE,5.252999999999999,22.745,-26.081999999999997
182,5036,joint,7,0111,Greed_Risk_Nash,0,0,0,0.341,0.341,0.302,0.0,2.545,0.883,0.293,,SSE,5.531000000000001,19.438,-14.615
182,5036,joint,8,1000,Coop,0,0,0,0.01,0.01,0.01,0.0,3.3689999999999998,,,,SSE,10.294,-20.317999999999998,55.192
182,5036,joint,9,1001,Coop_Nash,0,0,0,0.37799999999999995,0.37799999999999995,0.244,0.0,0.16399999999999998,2.5669999999999997,,,SSE,8.331,-6.776,32.96
182,5036,joint,10,1010,Coop_Risk,0,0,0,0.222,0.222,0.155,0.0,0.23399999999999999,1.344,,,SSE,9.887,-17.735,54.879
182,5036,joint,11,1011,Coop_Risk_Nash,0,0,0,0.191,0.191,0.225,0.0,0.162,-0.527,3.025,,SSE,8.23,-5.992999999999999,36.246
182,5036,joint,12,1100,Coop_Greed,0,0,0,0.7020000000000001,0.7020000000000001,0.28600000000000003,0.0,0.18899999999999997,2.9530000000000003,,,SSE,5.5329999999999995,19.417,-19.427
182,5036,joint,13,1101,Coop_Greed_Nash,0,0,0,1.054,1.054,0.14400000000000002,0.0,0.405,4.698,2.563,,SSE,5.517,19.597,-14.935
182,5036,joint,14,1110,Coop_Greed_Risk,0,0,0,0.48200000000000004,0.48200000000000004,0.308,0.0,0.198,2.658,0.878,,SSE,5.186,23.557,-22.855
182,5036,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.368,0.368,0.29100000000000004,0.0,0.218,2.6430000000000002,0.934,0.289,SSE,5.487,19.951,-10.789000000000001
183,5037,joint,1,0001,Nash,0,0,0,0.469,0.469,0.22899999999999998,0.0,3.04,,,,SSE,3.1689999999999996,55.07899999999999,-95.602
183,5037,joint,2,0010,Risk,0,0,0,0.436,0.436,0.083,0.0,2.261,,,,SSE,5.007,25.811,-37.065
183,5037,joint,3,0011,Risk_Nash,0,0,0,0.20199999999999999,0.20199999999999999,0.20600000000000002,0.0,-0.797,3.648,,,SSE,3.0669999999999997,57.185,-94.962
183,5037,joint,4,0100,Greed,0,0,0,0.3,0.3,0.16699999999999998,0.0,3.341,,,,SSE,3.161,55.253,-95.949
183,5037,joint,5,0101,Greed_Nash,0,0,0,0.319,0.319,0.157,0.0,2.484,2.557,,,SSE,2.594,67.906,-116.404
183,5037,joint,6,0110,Greed_Risk,0,0,0,0.382,0.382,0.132,0.0,4.272,1.537,,,SSE,2.807,62.84,-106.272
